"AGIX Holdings","As of 2025-07-14","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"META PLATFORMS INC",7.66,META,US30303M1027,"3,169","2,284,595"
2,"MICROSOFT CORP",5.36,MSFT,US5949181045,"3,180","1,599,604"
3,"AMAZON.COM INC",5.20,AMZN,US0231351067,"6,877","1,552,070"
4,"NVIDIA CORP",4.71,NVDA,US67066G1040,"8,573","1,406,572"
5,"ANTHROPIC, PBC",4.00,1892140D,–,"17,829","1,194,543"
6,"ALPHABET INC-CL A",3.22,GOOGL,US02079K3059,"5,285","959,545"
7,"NEBIUS GROUP NV",3.20,NBIS,NL0009805522,"18,362","953,906"
8,"APPLE INC",3.19,AAPL,US0378331005,"4,559","951,099"
9,"PALANTIR TECHN-A",2.82,PLTR,US69608A1088,"5,649","842,548"
10,"ORACLE CORP",2.81,ORCL,US68389X1054,"3,659","838,936"
11,"BROADCOM INC",2.75,AVGO,US11135F1012,"2,977","820,461"
12,"TESLA INC",2.70,TSLA,US88160R1014,"2,539","804,609"
13,"SALESFORCE INC",2.61,CRM,US79466L3024,"3,004","780,079"
14,"SERVICENOW INC",2.60,NOW,US81762P1021,807,"776,156"
15,"ROBLOX CORP -CLASS A",2.37,RBLX,US7710491033,"6,317","706,430"
16,"SAP SE",2.26,SAP,DE0007164600,"2,239","675,041"
17,TSMC,2.26,2330,TW0002330008,"18,000","672,983"
18,"CLOUDFLARE INC - CLASS A",2.16,NET,US18915M1071,"3,531","645,820"
19,"SK HYNIX INC",2.16,000660,KR7000660001,"2,965","644,098"
20,"SNOWFLAKE INC",1.98,SNOW,US8334451098,"2,771","591,664"
21,"DATADOG INC - CLASS A",1.89,DDOG,US23804L1035,"4,059","563,389"
22,"ADOBE INC",1.85,ADBE,US00724F1012,"1,501","550,852"
23,"TEMPUS AI INC",1.81,TEM,US88023B1035,"9,341","540,097"
24,"ELASTIC NV",1.76,ESTC,NL0013056914,"6,148","524,117"
25,"SHOPIFY INC - CLASS A",1.72,SHOP,CA82509L1076,"4,390","513,140"
26,DUOLINGO,1.68,DUOL,US26603R1068,"1,328","499,886"
27,"SAMSARA INC-CL A",1.52,IOT,US79589L1061,"12,077","453,612"
28,"APPLOVIN CORP-CLASS A",1.48,APP,US03831W1080,"1,240","441,316"
29,"VERTIV HOLDINGS CO-A",1.39,VRT,US92537N1081,"3,334","415,816"
30,"MARVELL TECHNOLOGY INC",1.37,MRVL,US5738741041,"5,652","409,827"
31,"ASML HOLDING NV",1.33,ASML,NL0010273215,495,"397,487"
32,"MONGODB INC",1.31,MDB,US60937P1066,"1,937","390,364"
33,"WORKDAY INC-CLASS A",1.30,WDAY,US98138H1014,"1,725","387,711"
34,"ATLASSIAN CORP-CL A",1.27,TEAM,US0494681010,"1,983","379,963"
35,"PALO ALTO NETWORKS INC",1.27,PANW,US6974351057,"1,986","378,770"
36,"MICRON TECHNOLOGY INC",1.24,MU,US5951121038,"3,112","369,114"
37,"ARISTA NETWORKS INC",1.21,"2512042D US",US0404132054,"3,337","361,631"
38,"ZSCALER INC",1.21,ZS,US98980G1022,"1,242","361,596"
39,"PURE STORAGE-A",1.17,PSTG,US74624M1027,"6,402","348,717"
40,"GITLAB INC-CL A",1.11,GTLB,US37637K1088,"7,753","330,045"
41,"CONFLUENT INC-CLASS A",1.10,CFLT,US20717M1036,"13,708","328,581"
42,"SYNOPSYS INC",0.96,SNPS,US8716071076,522,"286,855"
43,"MEDIATEK INC",0.95,2454,TW0002454006,"6,000","283,739"
44,"QUALCOMM INC",0.92,QCOM,US7475251036,"1,773","273,556"
45,"ARM HOLDINGS PLC-ADR",0.90,ARM,US0420682058,"1,849","267,254"
46,Cash,0.26,,–,"77,769","77,769"
47,EURO,0.00,,–,43,50
48,"CANADIAN DOLLAR",0.00,,–,3,2
